"seqnames","gene_id","gene_name","Operon","start","end","width","strand","Type","logFC","padj","fc_lt_2","fitness_defect","essential_status","essential_status_2","Function","GOs","KEGG_Pathway","COG_category"
"chromosome","PPGIJJGB_00001","dnaA",1,70,1371,1302,"+","CDS",-2.98096368574358,9.88295502313468e-32,TRUE,TRUE,"uncertain","uncertain","[L] ATPase involved in DNA replication initiation","GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008156,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0016020,GO:0016070,GO:0017076,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0030554,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:1990837,GO:2000112,GO:2000113,GO:2001141","ko02020,ko04112,map02020,map04112","L"
"chromosome","PPGIJJGB_00002","dnaN",1,1455,2558,1104,"+","CDS",NA,NA,FALSE,NA,"uncertain","uncertain","[L] DNA polymerase sliding clamp subunit (PCNA","GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003887,GO:0004518,GO:0004527,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008408,GO:0009058,GO:0009059,GO:0009360,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0022616,GO:0032991,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0042575,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0061695,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1990234","ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440","L"
"chromosome","PPGIJJGB_00003","recF",1,2561,3664,1104,"+","CDS",-10.6985842783228,1.24850199009289e-18,TRUE,TRUE,"uncertain","uncertain","[L] Recombinational DNA repair ATPase (RecF pathway)","GO:0000166,GO:0000731,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009432,GO:0009605,GO:0009628,GO:0009987,GO:0009991,GO:0016020,GO:0017076,GO:0018130,GO:0019438,GO:0030554,GO:0031668,GO:0032553,GO:0032555,GO:0032559,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071496,GO:0071704,GO:0071897,GO:0071944,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576","ko03440,map03440","L"
"chromosome","PPGIJJGB_00004","gyrB",1,3661,6072,2412,"+","CDS",-5.45243269967936,2.87005538975525e-71,TRUE,TRUE,"essential","essential","[L] Type IIA topoisomerase (DNA gyrase/topo II,","GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006265,GO:0006351,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009330,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0032991,GO:0034335,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0042221,GO:0042493,GO:0042623,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046677,GO:0046872,GO:0050896,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:0140097,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576",NA,"L"
"chromosome","PPGIJJGB_00005","adpA",2,6198,7160,963,"-","CDS",-5.77337528507299,2.71143487325803e-66,TRUE,TRUE,"essential","essential","[K] Transcriptional regulator containing an amidase domain",NA,NA,"K"
"chromosome","PPGIJJGB_00006","yddR",3,7248,8018,771,"-","CDS",0.0924871035395757,0.368351099705862,FALSE,FALSE,"nonessential","nonessential","[R] Predicted Zn-dependent hydrolases of the beta-lactamase",NA,NA,"S"
"chromosome","PPGIJJGB_00007","ibpA",4,8294,8707,414,"+","CDS",0.582568783417504,0.00024349216060419,FALSE,FALSE,"nonessential","nonessential","[O] Molecular chaperone (small heat shock protein)","GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0042802,GO:0044424,GO:0044444,GO:0044464,GO:0050896","ko04141,map04141","O"
"chromosome","PPGIJJGB_00008","ibpB",4,8800,9240,441,"+","CDS",0.0381604970507618,0.732631454272905,FALSE,FALSE,"nonessential","nonessential","[O] Molecular chaperone (small heat shock protein)","GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0010035,GO:0010038,GO:0042221,GO:0042802,GO:0044424,GO:0044464,GO:0046688,GO:0050896,GO:0097501,GO:1990169","ko04141,map04141","O"
"chromosome","PPGIJJGB_00009","avtA",5,9314,10564,1251,"-","CDS",0.0118938129840273,0.947719145792656,FALSE,FALSE,"nonessential","nonessential","[E] Alanine-alpha-ketoisovalerate (or valine-pyruvate) aminotransferase  ","GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006522,GO:0006523,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009042,GO:0009058,GO:0009078,GO:0009079,GO:0009987,GO:0016053,GO:0016740,GO:0016769,GO:0019752,GO:0019842,GO:0030170,GO:0030632,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046144,GO:0046145,GO:0046394,GO:0046416,GO:0046436,GO:0046437,GO:0048037,GO:0050662,GO:0070279,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","ko00290,ko01100,ko01110,ko01130,map00290,map01100,map01110,map01130","E"
"chromosome","PPGIJJGB_00010",NA,6,10847,11080,234,"+","CDS",0.117521744885789,0.274015972572741,FALSE,FALSE,"nonessential","nonessential",NA,NA,NA,NA
